Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways,Break_Even_Demand_Increase_Pct
P1B7M,SPAMEDICA BRISTOL,302,328.0,366.0,11.158536585365853
P5Y6K,NEWMEDICA - SHREWSBURY,447,280.0,428.0,15.285714285714288
Q1W6P,SPAMEDICA WATFORD,468,300.0,360.0,12.0
Q8X0X,SPAMEDICA ISLE OF WIGHT COMMUNITY DIAGNOSTIC & TREATMENT CENTRE,27,16.0,18.0,11.25
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,166898,83254.0,70982.0,8.525956710788671
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,59937,44106.0,36978.0,8.38389334784383
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,67378,40416.0,30442.0,7.532165479018212
R0F4N,NUFFIELD HEALTH PARKSIDE HOSPITAL,811,584.0,396.0,6.780821917808219
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,31,34.0,8.0,2.3529411764705883
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,8039,4606.0,4192.0,9.101172383847157
R1F,ISLE OF WIGHT NHS TRUST,12768,7428.0,7078.0,9.528809908454496
R1G7E,SPAMEDICA KENDAL,408,456.0,502.0,11.008771929824562
R1H,BARTS HEALTH NHS TRUST,121533,59564.0,49324.0,8.280840776307837
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,81282,41294.0,32106.0,7.774979415895773
R7W2O,NEWCASTLE NEWMEDICA LTD,869,874.0,894.0,10.228832951945082
RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,50868,29232.0,27024.0,9.244663382594418
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31606,18220.0,16476.0,9.042810098792536
RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,165626,66410.0,59270.0,8.92486071374793
RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,139530,64170.0,44128.0,6.876733676172667
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,8908,5682.0,4644.0,8.173178458289335
RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,33277,16088.0,13718.0,8.526852312282447
RAX,KINGSTON AND RICHMOND NHS FOUNDATION TRUST,40399,21110.0,18188.0,8.615821885362388
RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,22644,11192.0,8878.0,7.932451751250894
RBK,WALSALL HEALTHCARE NHS TRUST,27966,19516.0,16762.0,8.588850174216029
RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,45369,21970.0,18332.0,8.34410559854347
RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,81973,44160.0,38210.0,8.652626811594203
RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,5667,3550.0,3586.0,10.101408450704225
RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,17095,8852.0,8714.0,9.844103027564394
RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,28421,20084.0,18116.0,9.020115514837682
