Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,NT449,LANCASTER PRIVATE HOSPITAL,284,246.0,258.0
2026-06-01,NT450,LINCOLN PRIVATE HOSPITAL,1198,612.0,594.0
2026-06-01,NT451,CAVELL HOSPITAL,1499,958.0,644.0
2026-06-01,NT455,MOUNT ALVERNIA HOSPITAL,255,158.0,150.0
2026-06-01,NT457,WOODLANDS HOSPITAL,2800,1628.0,1468.0
2026-06-01,NT490,SOUTHEND PRIVATE HOSPITAL,1234,786.0,874.0
2026-06-01,NTE02,ST HUGH'S HOSPITAL,2229,1394.0,1066.0
2026-06-01,NTP11,PRACTICE PLUS GROUP HOSPITAL - SOUTHAMPTON,10481,4418.0,4872.0
2026-06-01,NTP13,PRACTICE PLUS GROUP HOSPITAL - BARLBOROUGH,2017,1158.0,976.0
2026-06-01,NTP15,PRACTICE PLUS GROUP HOSPITAL - ILFORD,4736,3696.0,3730.0
2026-06-01,NTP16,PRACTICE PLUS GROUP SURGICAL CENTRE - GILLINGHAM,1072,1560.0,1366.0
2026-06-01,NTPAD,PRACTICE PLUS GROUP SURGICAL CENTRE - ST MARYS PORTSMOUTH,1937,3054.0,3220.0
2026-06-01,NTPAE,PRACTICE PLUS GROUP OPHTHALMOLOGY - NORTH WEST,1544,1120.0,816.0
2026-06-01,NTPH1,PRACTICE PLUS GROUP HOSPITAL - SHEPTON MALLET,2947,1880.0,1852.0
2026-06-01,NTPH2,PRACTICE PLUS GROUP HOSPITAL - EMERSONS GREEN,5409,3890.0,3454.0
2026-06-01,NTPH3,PRACTICE PLUS GROUP SURGICAL CENTRE - DEVIZES,2722,1940.0,2126.0
2026-06-01,NTPH5,PRACTICE PLUS GROUP HOSPITAL - PLYMOUTH,1575,2458.0,1502.0
2026-06-01,NTX,THE ONE HEALTH GROUP PLC,4988,3610.0,4028.0
2026-06-01,NV1,INHEALTH LIMITED,826,488.0,620.0
2026-06-01,NVC01,ASHTEAD HOSPITAL,1051,558.0,216.0
2026-06-01,NVC02,THE BERKSHIRE INDEPENDENT HOSPITAL,1096,556.0,298.0
2026-06-01,NVC04,DUCHY HOSPITAL,1730,674.0,478.0
2026-06-01,NVC05,EUXTON HALL HOSPITAL,3232,1394.0,760.0
2026-06-01,NVC06,FITZWILLIAM HOSPITAL,6455,2032.0,1244.0
2026-06-01,NVC07,FULWOOD HALL HOSPITAL,4115,2186.0,1128.0
2026-06-01,NVC08,MOUNT STUART HOSPITAL,2200,564.0,514.0
2026-06-01,NVC09,NEW HALL HOSPITAL,3486,1536.0,710.0
2026-06-01,NVC0I,BEACON PARK HOSPITAL,1184,382.0,352.0
2026-06-01,NVC0R,TEES VALLEY HOSPITAL,4112,2940.0,1828.0
2026-06-01,NVC0Y,EXETER MEDICAL,275,108.0,96.0
2026-06-01,NVC11,NORTH DOWNS HOSPITAL,1533,702.0,328.0
2026-06-01,NVC12,OAKLANDS HOSPITAL,3352,1572.0,934.0
2026-06-01,NVC13,OAKS HOSPITAL,964,296.0,316.0
2026-06-01,NVC14,PARK HILL HOSPITAL,734,440.0,256.0
2026-06-01,NVC15,PINEHILL HOSPITAL,1909,756.0,406.0
2026-06-01,NVC16,RENACRES HOSPITAL,4854,1390.0,514.0
2026-06-01,NVC17,ROWLEY HALL HOSPITAL,2354,782.0,740.0
2026-06-01,NVC18,SPRINGFIELD HOSPITAL,4412,1794.0,1084.0
2026-06-01,NVC19,RIVERS HOSPITAL,4242,1754.0,1142.0
2026-06-01,NVC1H,STOURSIDE HOSPITAL,2866,1540.0,720.0
2026-06-01,NVC20,THE YORKSHIRE CLINIC,7268,4348.0,1818.0
2026-06-01,NVC21,WEST MIDLANDS HOSPITAL,671,166.0,224.0
2026-06-01,NVC22,WINFIELD HOSPITAL,1384,674.0,356.0
2026-06-01,NVC23,WOODLAND HOSPITAL,4641,1800.0,1034.0
2026-06-01,NVC25,THE CHERWELL HOSPITAL,2197,1040.0,626.0
2026-06-01,NVC27,BOSTON WEST HOSPITAL,2353,980.0,464.0
2026-06-01,NVC28,CLIFTON PARK HOSPITAL,1569,864.0,638.0
2026-06-01,NVC29,COBALT HOSPITAL,2088,1068.0,520.0
2026-06-01,NVC31,BLAKELANDS HOSPITAL,2315,1192.0,652.0
2026-06-01,NVC40,WOODTHORPE HOSPITAL,3628,2108.0,1166.0
2026-06-01,NVC44,THE WESTBOURNE CENTRE,3163,1202.0,648.0
2026-06-01,NVM,EPSOMEDICAL GROUP,2926,2424.0,2376.0
2026-06-01,NWF01,BENENDEN HOSPITAL,1517,832.0,848.0
2026-06-01,NXM01,THE HORDER CENTRE - ST JOHNS ROAD,1288,202.0,544.0
2026-06-01,NXP,INDEPENDENT HEALTH GROUP,855,864.0,1136.0
2026-06-01,NYG,SUSSEX COMMUNITY DERMATOLOGY SERVICE,16318,15148.0,13984.0
2026-06-01,O1P6X,SPAMEDICA OLDHAM,617,598.0,760.0
2026-06-01,O5Y9D,SPAMEDICA OXFORD,165,180.0,266.0
2026-06-01,O6X7Z,SPAMEDICA CAMBRIDGE,411,386.0,460.0
2026-06-01,P0C3F,SPAMEDICA LEEDS,319,212.0,268.0
2026-06-01,P1B7M,SPAMEDICA BRISTOL,302,328.0,366.0
2026-06-01,P5Y6K,NEWMEDICA - SHREWSBURY,447,280.0,428.0
2026-06-01,Q1W6P,SPAMEDICA WATFORD,468,300.0,360.0
